city,city_code
SPICER,1985
SPIRIT LAKE,1986
SPRING GROVE,1987
SPRING HILL,1988
SPRING LAKE,1989
SPRING LAKE PARK,1990
SPRING PARK,1991
SPRING VALLEY,1992
SPRINGFIELD,1993
SPRINGVALE,1994
SQUAW LAKE,1995
ST ANTHONY,1996
ST ANTHONY VILLAGE,1997
ST AUGUSTA,1998
ST BONIFACIUS,1999
ST CHARLES,2000
ST CLAIR,2001
ST CLOUD,2002
ST FRANCIS,2003
ST GEORGE,2004
ST HILAIRE,2005
ST JAMES,2006
ST JOSEPH,2007
ST LEO,2008
ST LOUIS PARK,2009
ST MARTIN,2010
ST MARYS POINT,2011
ST MICHAEL,2012
ST PAUL,2013
ST PAUL PARK,2014
ST PETER,2015
ST ROSA,2016
ST STEPHEN,2017
ST VINCENT,2018
STACY,2019
STANCHFIELD,2020
STANTON,2021
STAPLES,2022
STAR LAKE,2023
STARBUCK,2024
STARK,2025
STEELE CENTER,2026
STEEN,2027
STEPHEN,2028
STERLING CENTER,2029
STEWART,2030
STEWARTVILLE,2031
STILLWATER,2032
STOCKTON,2033
STORDEN,2034
STRANDQUIST,2035
STRATHCONA,2036
STRAWBERRY LAKE,2037
STURGEON LAKE,2038
SUGAR LAKE,2039
SUGAR POINT,2040
SUNBURG,2041
SUNFISH LAKE,2042
SUNRISE,2043
SVEA,2044
SWAN RIVER,2045
SWANVILLE,2046
SWATARA,2047
SWIFT,2048
SWIFT FALLS,2049
SYRE,2050
TACONITE,2051
TAIT LAKE,2052
TALMOON,2053
TAMARACK,2054
TAOPI,2055
TAUNTON,2056
TAYLORS FALLS,2057
TENNEY,2058
TENSTRIKE,2059
TERRACE,2060
THEILMAN,2061
THIEF RIVER FALLS,2062
THOMPSON,2063
THOMSON,2064
TINTAH,2065
TOFTE,2066
TOGO,2067
TOIVOLA,2068
TONKA BAY,2069
TOWER,2070
TRACY,2071
TRAIL,2072
TRIMONT,2073
TROMMALD,2074
TROSKY,2075
TRUMAN,2076
TURTLE RIVER,2077
TWIG,2078
TWIN LAKES,2079
TWIN VALLEY,2080
TWO HARBORS,2081
TWO INLETS,2082
TYLER,2083
ULEN,2084
UNDERWOOD,2085
UNION LAKE,2086
UPSALA,2087
URBANK,2088
UTICA,2089
VADNAIS HEIGHTS,2090
VALLEY SPRINGS,2091
VERDI,2092
VERGAS,2093
VERMILLION,2094
VERNDALE,2095
VERNON CENTER,2096
VESELI,2097
VESTA,2098
VICTORIA,2099
VIKING,2100
VILLARD,2101
VINELAND,2102
VINING,2103
VIRGINIA,2104
WABASHA,2105
WABASSO,2106
WACONIA,2107
WADENA,2108
WAHKON,2109
WAITE PARK,2110
WALDORF,2111
WALKER,2112
WALNUT GROVE,2113
WALTERS,2114
WALTHAM,2115
WANAMINGO,2116
WANDA,2117
WANNASKA,2118
WARBA,2119
WARREN,2120
WARROAD,2121
WARSAW,2122
WASECA,2123
WASHINGTON,2124
WASKISH,2125
WATERTOWN,2126
WATERVILLE,2127
WATKINS,2128
WATSON,2129
WAUBUN,2130
WAUKON,2131
WAVERLY,2132
WAWINA,2133
WAYZATA,2134
WEAVER,2135
WEBSTER,2136
WELCH,2137
WELCOME,2138
WELLS,2139
WENDELL,2140
WEST CONCORD,2141
WEST LAKELAND,2142
WEST ST PAUL,2143
WEST UNION,2144
WESTBROOK,2145
WESTPORT,2146
